ECONOMIC ACTIVITY,"Agriculture, Livestock, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Manufacturing,"Food products, beverages and tobacco","Textiles, apparel and leather products",Metal products,Machinery and equipment,Other manufactured goods,"Electricity, gas, water supply & other utility services",Construction,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Transport by other means *,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwellings & professional services",Public administration and defence,Other services,TOTAL GVA,*FISIM adjusted breakup of Transport by other means are available 2004-05 onwards
1950-51,"2,95,745","1,84,224","53,082","90,612","4,913","14,033","43,927","7,421","8,643","6,492","2,458","13,271","1,466","25,632","26,405","24,323","2,123","9,241","3,931","5,490",,,,,303,682,"4,463","55,845","13,247","22,814","4,79,210",
1951-52,"3,00,156","1,87,245","53,935","90,403","5,216","15,762","45,314","7,531","8,952","6,646","2,517","13,589","1,636","27,383","27,012","24,807","2,271","9,589","3,990","5,738",,,,,323,725,"4,600","57,117","13,562","23,550","4,90,399",
1952-53,"3,09,623","1,95,034","56,189","85,540","5,503","16,126","46,891","7,699","9,615","6,536","1,901","13,848","1,711","25,399","27,959","25,776","2,220","9,831","3,920","5,989",,,,,323,767,"5,380","58,468","13,696","24,124","5,04,316",
1953-54,"3,33,466","2,12,573","61,206","82,811","5,621","16,368","50,520","7,950","10,420","6,837","2,141","14,550","1,844","26,183","29,021","26,729","2,318","10,179","3,955","6,263",,,,,333,808,"5,200","59,818","14,294","24,757","5,35,010",
1954-55,"3,43,269","2,18,517","62,896","85,924","6,042","17,068","54,060","8,416","10,774","8,005","3,003","15,800","2,004","29,421","31,045","28,579","2,463","10,691","4,151","6,577",,,,,333,868,"5,873","61,162","15,093","25,462","5,57,724",
1955-56,"3,40,303","2,15,284","61,976","89,388","6,534","17,337","58,293","8,886","11,190","8,556","4,319","17,748","2,227","34,994","33,337","30,643","2,659","11,446","4,588","6,982",,,,,333,945,"6,710","62,598","15,689","26,155","5,72,009",
1956-57,"3,58,802","2,28,170","65,659","88,793","7,258","18,219","62,671","9,491","12,023","9,081","5,583","19,246","2,430","39,017","35,693","32,781","2,848","12,383","5,001","7,491",,,,,354,"1,029","6,626","64,012","16,817","26,825","6,04,571",
1957-58,"3,42,685","2,16,574","62,309","89,108","7,427","19,404","65,085","9,933","12,162","9,395","5,792","20,743","2,803","34,246","36,452","33,423","2,898","13,164","5,506","7,899",,,,,354,"1,048","7,426","65,484","18,130","27,682","5,97,260",
1958-59,"3,77,214","2,40,931","69,268","88,898","7,750","20,009","68,309","10,635","12,246","10,228","5,086","22,390","3,160","38,268","37,977","34,754","3,040","14,145","5,554","8,765",,,,,364,"1,143","7,861","66,948","19,243","28,580","6,42,587",
1959-60,"3,73,416","2,37,416","68,259","92,047","7,817","21,039","72,948","10,931","12,354","12,810","5,564","25,001","3,641","40,893","40,370","36,917","3,189","15,012","5,967","9,241",,,,,374,"1,227","8,752","68,491","20,490","29,538","6,56,649",
