Year,GDP,Primary,Secondary,Tertiary,ln_GDP,growth_GDP,ln_Primary,growth_Primary,ln_Secondary,growth_Secondary,ln_Tertiary,growth_Tertiary
1952,490399,315918,74333,135430,13.102974624450347,2.308043077118427,12.663237965223855,1.9626774337664799,11.21631027745916,4.552307073677042,11.816210180649417,2.5539349173396175
1953,504316,325749,74001,139458,13.130958334708062,2.7983710257714733,12.693882425143546,3.0644459919690448,11.211833885608513,-0.44763918506465217,11.845518759642482,2.930857899306538
1954,535010,349834,78547,143269,13.190040717292243,5.90823825841813,12.765214035242266,7.133161009872069,11.27145245072018,5.96185651116663,11.872479261034762,2.6960501392279568
1955,557724,360337,85485,149326,13.231619495340901,4.157877804865784,12.794794983664644,2.958094842237813,11.356096200937209,8.464375021702963,11.91388711438036,4.140785334559816
1956,572009,357640,95514,155935,13.256910004503887,2.5290509162985586,12.787282172849254,-0.7512810815390125,11.467028112583192,11.09319116459826,11.95719453273533,4.330741835497065
1957,604571,377021,104118,162356,13.312274394580019,5.536439007613225,12.84005616779657,5.277399494731583,11.553280150318558,8.625203773536683,11.997546734039345,4.035220130401385
1958,597260,362089,102134,168338,13.30010780845517,-1.2166586124848777,12.799645316943778,-4.041085085279228,11.534040955574303,-1.9239194744255173,12.033729141977396,3.6182407938051497
1959,642587,397223,109737,174754,13.373257495144912,7.314968668974231,12.892253114814066,9.260779787028817,11.605841872896484,7.180091732218052,12.07113454967672,3.7405407699324655
1960,656649,394455,117482,182653,13.394904908130854,2.1647412985942083,12.885260344320702,-0.6992770493363665,11.674040409341975,6.819853644549134,12.115343456944824,4.420890726810356
1961,703138,422755,130235,191776,13.463308453092894,6.840354496203993,12.954548094011995,6.928774969129314,11.777095789836036,10.30553804940606,12.164083303257911,4.873984631308659
1962,724957,424484,139208,201176,13.493867621733056,3.0559168640161616,12.958629592621552,0.4081498609556533,11.843724496495414,6.662870665937781,12.211935425798549,4.7852122540637865
